"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2020年06月22日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","","A1101","","A110101","","A110102","","A1301","","A130101","","A130102","","A1302","","A130201","","A130202","","A1303","","A130301","","A130302",""
"調査年 コード","調査年","地域 コード","地域","/項目","A1101_総人口【人】","注釈","A110101_総人口（男）【人】","注釈","A110102_総人口（女）【人】","注釈","A1301_15歳未満人口【人】","注釈","A130101_15歳未満人口（男）【人】","注釈","A130102_15歳未満人口（女）【人】","注釈","A1302_15～64歳人口【人】","注釈","A130201_15～64歳人口（男）【人】","注釈","A130202_15～64歳人口（女）【人】","注釈","A1303_65歳以上人口【人】","注釈","A130301_65歳以上人口（男）【人】","注釈","A130302_65歳以上人口（女）【人】","注釈"
"2015100000","2015年度","01408","北海道 余市町","","19,607","","9,063","","10,544","","1,995","","1,046","","949","","10,452","","5,135","","5,317","","7,130","","2,852","","4,278",""
"2015100000","2015年度","01409","北海道 赤井川村","","1,121","","566","","555","","139","","63","","76","","618","","335","","283","","364","","168","","196",""
"2015100000","2015年度","01423","北海道 南幌町","","7,927","","3,739","","4,188","","739","","385","","354","","4,825","","2,349","","2,476","","2,362","","1,004","","1,358",""
"2015100000","2015年度","01424","北海道 奈井江町","","5,674","","2,659","","3,015","","516","","282","","234","","2,945","","1,475","","1,470","","2,212","","901","","1,311",""
"2015100000","2015年度","01425","北海道 上砂川町","","3,479","","1,575","","1,904","","258","","121","","137","","1,567","","793","","774","","1,654","","661","","993",""
"2015100000","2015年度","01427","北海道 由仁町","","5,314","","2,536","","2,778","","538","","283","","255","","2,773","","1,417","","1,356","","2,003","","836","","1,167",""
"2015100000","2015年度","01428","北海道 長沼町","","11,076","","5,293","","5,783","","1,166","","595","","571","","6,065","","3,100","","2,965","","3,840","","1,595","","2,245",""
"2015100000","2015年度","01429","北海道 栗山町","","12,344","","5,740","","6,604","","1,277","","622","","655","","6,473","","3,204","","3,269","","4,594","","1,914","","2,680",""
"2015100000","2015年度","01430","北海道 月形町","","4,577","","2,841","","1,736","","268","","144","","124","","2,840","","2,028","","812","","1,468","","668","","800",""
"2015100000","2015年度","01431","北海道 浦臼町","","1,985","","956","","1,029","","197","","105","","92","","1,019","","537","","482","","769","","314","","455",""
"2015100000","2015年度","01432","北海道 新十津川町","","6,831","","3,096","","3,735","","755","","366","","389","","3,443","","1,658","","1,785","","2,631","","1,070","","1,561",""
"2015100000","2015年度","01433","北海道 妹背牛町","","3,091","","1,451","","1,640","","274","","145","","129","","1,468","","744","","724","","1,349","","562","","787",""
"2015100000","2015年度","01434","北海道 秩父別町","","2,513","","1,177","","1,336","","227","","111","","116","","1,235","","630","","605","","1,051","","436","","615",""
"2015100000","2015年度","01436","北海道 雨竜町","","2,749","","1,323","","1,426","","262","","141","","121","","1,445","","763","","682","","1,042","","419","","623",""
"2015100000","2015年度","01437","北海道 北竜町","","1,981","","938","","1,043","","179","","84","","95","","942","","477","","465","","860","","377","","483",""
"2015100000","2015年度","01438","北海道 沼田町","","3,181","","1,501","","1,680","","283","","136","","147","","1,602","","827","","775","","1,296","","538","","758",""
"2015100000","2015年度","01452","北海道 鷹栖町","","7,018","","3,309","","3,709","","1,040","","530","","510","","3,852","","1,866","","1,986","","2,126","","913","","1,213",""
"2015100000","2015年度","01453","北海道 東神楽町","","10,233","","4,772","","5,461","","1,609","","806","","803","","6,007","","2,860","","3,147","","2,617","","1,106","","1,511",""
"2015100000","2015年度","01454","北海道 当麻町","","6,689","","3,076","","3,613","","721","","355","","366","","3,309","","1,602","","1,707","","2,659","","1,119","","1,540",""
"2015100000","2015年度","01455","北海道 比布町","","3,777","","1,787","","1,990","","358","","171","","187","","1,896","","953","","943","","1,523","","663","","860",""
"2015100000","2015年度","01456","北海道 愛別町","","2,976","","1,393","","1,583","","275","","149","","126","","1,443","","715","","728","","1,258","","529","","729",""
"2015100000","2015年度","01457","北海道 上川町","","4,044","","1,936","","2,108","","357","","169","","188","","2,082","","1,098","","984","","1,605","","669","","936",""
"2015100000","2015年度","01458","北海道 東川町","","8,111","","3,719","","4,392","","1,057","","510","","547","","4,450","","2,099","","2,351","","2,603","","1,109","","1,494",""
"2015100000","2015年度","01459","北海道 美瑛町","","10,292","","4,826","","5,466","","1,116","","541","","575","","5,437","","2,690","","2,747","","3,735","","1,592","","2,143",""
"2015100000","2015年度","01460","北海道 上富良野町","","10,826","","5,442","","5,384","","1,415","","731","","684","","6,141","","3,259","","2,882","","3,234","","1,420","","1,814",""
"2015100000","2015年度","01461","北海道 中富良野町","","5,069","","2,405","","2,664","","648","","322","","326","","2,703","","1,334","","1,369","","1,672","","724","","948",""
"2015100000","2015年度","01462","北海道 南富良野町","","2,555","","1,273","","1,282","","288","","152","","136","","1,451","","777","","674","","816","","344","","472",""
"2015100000","2015年度","01463","北海道 占冠村","","1,211","","604","","607","","116","","58","","58","","770","","396","","374","","311","","138","","173",""
"2015100000","2015年度","01464","北海道 和寒町","","3,596","","1,656","","1,940","","360","","181","","179","","1,709","","865","","844","","1,527","","610","","917",""
"2015100000","2015年度","01465","北海道 剣淵町","","3,228","","1,567","","1,661","","307","","164","","143","","1,733","","885","","848","","1,188","","518","","670",""
"2015100000","2015年度","01468","北海道 下川町","","3,547","","1,718","","1,829","","350","","173","","177","","1,827","","969","","858","","1,370","","576","","794",""
"2015100000","2015年度","01469","北海道 美深町","","4,659","","2,287","","2,372","","431","","237","","194","","2,495","","1,291","","1,204","","1,728","","755","","973",""
"2015100000","2015年度","01470","北海道 音威子府村","","832","","435","","397","","45","","16","","29","","558","","317","","241","","229","","102","","127",""
"2015100000","2015年度","01471","北海道 中川町","","1,767","","938","","829","","183","","103","","80","","958","","555","","403","","626","","280","","346",""
"2015100000","2015年度","01472","北海道 幌加内町","","1,525","","754","","771","","154","","76","","78","","774","","407","","367","","597","","271","","326",""
"2015100000","2015年度","01481","北海道 増毛町","","4,497","","2,024","","2,473","","427","","234","","193","","2,179","","1,040","","1,139","","1,891","","750","","1,141",""
"2015100000","2015年度","01482","北海道 小平町","","3,336","","1,585","","1,751","","301","","161","","140","","1,811","","919","","892","","1,224","","505","","719",""
"2015100000","2015年度","01483","北海道 苫前町","","3,265","","1,549","","1,716","","333","","176","","157","","1,657","","843","","814","","1,275","","530","","745",""
"2015100000","2015年度","01484","北海道 羽幌町","","7,327","","3,490","","3,837","","789","","408","","381","","3,629","","1,882","","1,747","","2,903","","1,195","","1,708",""
"2015100000","2015年度","01485","北海道 初山別村","","1,217","","578","","639","","114","","53","","61","","666","","345","","321","","437","","180","","257",""
"2015100000","2015年度","01486","北海道 遠別町","","2,806","","1,368","","1,438","","296","","158","","138","","1,447","","760","","687","","1,063","","450","","613",""
"2015100000","2015年度","01487","北海道 天塩町","","3,243","","1,643","","1,600","","364","","187","","177","","1,830","","1,005","","825","","1,049","","451","","598",""
"2015100000","2015年度","01511","北海道 猿払村","","2,684","","1,282","","1,402","","416","","187","","229","","1,656","","843","","813","","612","","252","","360",""
"2015100000","2015年度","01512","北海道 浜頓別町","","3,881","","1,871","","2,010","","416","","210","","206","","2,218","","1,131","","1,087","","1,246","","529","","717",""
"2015100000","2015年度","01513","北海道 中頓別町","","1,757","","869","","888","","158","","82","","76","","918","","490","","428","","680","","296","","384",""
"2015100000","2015年度","01514","北海道 枝幸町","","8,437","","3,983","","4,454","","990","","500","","490","","4,729","","2,337","","2,392","","2,717","","1,145","","1,572",""
"2015100000","2015年度","01516","北海道 豊富町","","4,054","","2,037","","2,017","","477","","268","","209","","2,352","","1,255","","1,097","","1,224","","514","","710",""
"2015100000","2015年度","01517","北海道 礼文町","","2,773","","1,398","","1,375","","269","","148","","121","","1,561","","843","","718","","943","","407","","536",""
"2015100000","2015年度","01518","北海道 利尻町","","2,303","","1,122","","1,181","","217","","93","","124","","1,211","","652","","559","","875","","377","","498",""
"2015100000","2015年度","01519","北海道 利尻富士町","","2,787","","1,321","","1,466","","340","","179","","161","","1,447","","741","","706","","1,000","","401","","599",""
"2015100000","2015年度","01520","北海道 幌延町","","2,447","","1,279","","1,168","","320","","166","","154","","1,478","","842","","636","","649","","271","","378",""
"2015100000","2015年度","01543","北海道 美幌町","","20,296","","9,763","","10,533","","2,376","","1,228","","1,148","","11,374","","5,750","","5,624","","6,533","","2,775","","3,758",""
"2015100000","2015年度","01544","北海道 津別町","","5,008","","2,427","","2,581","","432","","233","","199","","2,483","","1,320","","1,163","","2,093","","874","","1,219",""
"2015100000","2015年度","01545","北海道 斜里町","","12,231","","6,113","","6,118","","1,426","","747","","679","","7,139","","3,794","","3,345","","3,666","","1,572","","2,094",""
"2015100000","2015年度","01546","北海道 清里町","","4,221","","2,049","","2,172","","528","","296","","232","","2,179","","1,119","","1,060","","1,514","","634","","880",""
"2015100000","2015年度","01547","北海道 小清水町","","5,085","","2,414","","2,671","","599","","291","","308","","2,710","","1,377","","1,333","","1,773","","744","","1,029",""
